0 0,5495 0
387 0,9995 0,95
388 0,999 0,95
389 0,9995 0,95
390 0,998 0,95
391 0,9985 0,95
392 0,9995 0,95
393 0,9995 0,95
394 0,9985 0,95
395 0,9995 0,95
396 0,9995 0,95
397 0,998 0,95
398 0,9995 0,95
399 0,9995 0,95
400 0,9995 0,95
401 0,9995 0,95
402 0,9995 0,95
403 0,9965 0,95
404 0,9985 0,95
405 0,999 0,95
406 0,9995 0,95
407 0,9995 0,95
408 0,9995 0,95
409 0,9995 0,95
410 0,9995 0,95
411 0,9975 0,95
412 0,9995 0,95
413 0,9995 0,95
414 0,9995 0,95
415 0,9995 0,95
416 0,999 0,95
417 0,9995 0,95
418 0,9995 0,95
419 0,9985 0,95
420 0,9995 0,95
421 0,9995 0,95
422 0,9995 0,95
423 0,998 0,95
424 0,9995 0,95
425 0,9995 0,95
426 0,9995 0,95
427 0,9995 0,95
428 0,999 0,95
429 0,9995 0,95
430 0,9995 0,95
431 0,998 0,95
432 0,9995 0,95
433 0,9995 0,95
434 0,9995 0,95
435 0,9995 0,95
436 0,997 0,95
437 0,9985 0,95
438 0,9995 0,95
439 0,9995 0,95
440 0,9995 0,95
441 0,9995 0,95
442 0,998 0,95
443 0,9995 0,95
444 0,9995 0,95
445 0,9995 0,95
446 0,9995 0,95
447 0,9995 0,95
448 0,996 0,95
449 0,996 0,95
450 0,9925 0,95
451 0,993 0,95
452 0,9895 0,95
453 0,99 0,95
454 0,987 0,95
455 0,9895 0,9525
456 0,9915 0,9525
457 0,998 0,9525
458 0,9985 0,9525
459 0,9985 0,9525
460 0,9985 0,9525
461 0,999 0,9525
462 0,9995 0,9525
463 0,9995 0,9525
464 0,9995 0,9525
465 0,9995 0,9525
466 0,9995 0,9525
467 0,9995 0,9525
468 0,999 0,9525
469 0,9995 0,9525
470 0,9995 0,9525
471 0,9995 0,9525
472 0,9995 0,9525
473 0,9995 0,9525
474 0,999 0,9525
475 0,9995 0,9525
476 0,9995 0,9525
477 0,999 0,9525
478 0,9995 0,9525
479 0,9995 0,9525
480 0,9995 0,9525
481 0,9985 0,9525
482 0,9995 0,9525
483 0,9995 0,9525
484 0,9995 0,9525
485 0,9995 0,9525
486 0,9995 0,9525
487 0,999 0,9525
488 0,9995 0,9525
489 0,9995 0,9525
490 0,9985 0,9525
491 0,9995 0,9525
492 0,9995 0,9525
493 0,9985 0,9525
494 0,9995 0,9525
495 0,9995 0,9525
496 0,9995 0,9525
497 0,998 0,9525
498 0,9995 0,9525
499 0,9995 0,9525
500 0,9995 0,9525
501 0,9995 0,9525
502 0,9975 0,9525
503 0,9995 0,9525
504 0,9995 0,9525
505 0,9995 0,9525
506 0,9995 0,9525
507 0,9995 0,9525
508 0,9995 0,9525
509 0,9985 0,9525
510 0,9995 0,9525
511 0,9995 0,9525
512 0,9985 0,9525
513 0,9995 0,9525
514 0,9995 0,9525
515 0,9995 0,9525
516 0,996 0,9525
